Cantidad,Fecha,Producto,Venta,Compra,Utilidad
,22/04/2024,,14.00,11.13,2.87
1.00,,Cheetos Bolita Hornedo 42g,14.00,11.13,2.87
,22/04/2024,,22.00,17.22,4.78
1.00,,Pinguinos triple chocolate,22.00,17.22,4.78
,22/04/2024,,57.00,45.60,11.40
3.00,,Coca Cola 600ml,57.00,45.60,11.40
,22/04/2024,,5.50,2.88,2.62
1.00,,Papel Bond Cuadriculado,5.50,2.88,2.62
,22/04/2024,,40.00,31.49,8.51
1.00,,Fruts Gamesa 130gr 100714,24.00,19.49,4.51
1.00,,Marias Gamesa 1pz,16.00,12.00,4.00
,22/04/2024,,50.00,43.09,6.91
0.40,,Queso De Hebra,50.00,43.09,6.91
,22/04/2024,,39.00,36.66,2.34
1.00,,HUEVO CRIO 1/2 CONO,39.00,36.66,2.34
,22/04/2024,,78.00,73.32,4.68
1.00,,HUEVO CRIO CONO 30PZ,78.00,73.32,4.68
,22/04/2024,,6.00,3.71,2.29
1.00,,Cigarro Marlboro Individual 1Pza,6.00,3.71,2.29
,22/04/2024,,24.00,13.89,10.11
3.00,,Suavelastic Etapa 5 Individual Jumbo,24.00,13.89,10.11
,22/04/2024,,30.00,25.86,4.14
0.24,,Queso De Hebra,30.00,25.86,4.14
,22/04/2024,,29.00,20.34,8.66
1.00,,Epura 1 lt,14.00,7.74,6.26
1.00,,Pop Queso Cheddar 45g,15.00,12.60,2.40
,22/04/2024,,46.00,30.00,16.00
1.00,,BOLSA BASURA MEDIANA 1KG 60x90,46.00,30.00,16.00
,22/04/2024,,27.00,20.40,6.60
1.00,,BubuLubu Ricolino 35g,10.00,7.80,2.20
1.00,,Big Mix 75g,17.00,12.60,4.40
,22/04/2024,,38.00,31.17,6.83
1.00,,Fanta Uva 3lt,38.00,31.17,6.83
,22/04/2024,,5.00,3.25,1.75
1.00,,Bubbaloo Paleta Xtreme Fresa 1Pz,5.00,3.25,1.75
,22/04/2024,,15.00,12.93,2.07
0.12,,Queso De Hebra,15.00,12.93,2.07
,22/04/2024,,7.00,5.45,1.55
1.00,,Cerillo Flama Grande,7.00,5.45,1.55
,22/04/2024,,10.00,7.00,3.00
1.00,,Yakult 80ml,10.00,7.00,3.00
,22/04/2024,,5.00,3.68,1.32
2.00,,Head Shoulders Sobre Suave Y Manejanble 10ml,5.00,3.68,1.32
,22/04/2024,,5.00,4.20,0.80
5.00,,Bombon Individual,5.00,4.20,0.80
,22/04/2024,,28.00,23.54,4.46
2.00,,Coca Cola 400ml,28.00,23.54,4.46
,22/04/2024,,49.00,40.43,8.57
5.00,,Huevo Crio Individual 1pza,15.00,12.20,2.80
1.00,,Patrona 500 ml,24.00,20.26,3.74
0.14,,Jamon Rebanado Suly 1kg,10.00,7.97,2.03
,22/04/2024,,12.00,7.80,4.20
1.00,,Escobeta de Tela Cuadrifashion,12.00,7.80,4.20
,22/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,22/04/2024,,17.00,13.69,3.31
1.00,,Doritos Pizzerolas 61g,17.00,13.69,3.31
,22/04/2024,,38.00,32.37,5.63
1.00,,Bombon Bianchi Bolsa 420g,38.00,32.37,5.63
,22/04/2024,,37.00,28.10,8.90
1.00,,Pepsi Jumbo 3Lt,37.00,28.10,8.90
,22/04/2024,,124.50,94.51,29.99
1.00,,Patrona 500 ml,24.00,20.26,3.74
0.50,,Chuleta Aumada Salmi,83.00,59.75,23.25
1.00,,Yoghurt Yoplait Fresa 330g 9112,17.50,14.50,3.00
,22/04/2024,,294.00,273.43,20.57
279.00,,Abono Clientes Pay Joy,279.00,273.42,5.58
1.00,,Comision Pay Joy,15.00,0.01,14.99
,22/04/2024,,364.00,337.34,26.66
9.00,,Envios De Recargas,9.00,0.09,8.91
355.00,,RECARGAS XTREME (MULTICEL-MINISUPER),355.00,337.25,17.75
,22/04/2024,,24.00,20.79,3.21
1.00,,Lala deslactosada 1lit,24.00,20.79,3.21
,22/04/2024,,34.00,27.42,6.58
2.00,,Vuala Chocolate 1pza,34.00,27.42,6.58
,22/04/2024,,36.00,27.00,9.00
1.00,,Whiskas Filete De Atun 85g,12.00,9.00,3.00
2.00,,Whiskas Salmon Adulto 85g,24.00,18.00,6.00
,22/04/2024,,26.00,20.83,5.17
2.00,,Raidolito Verde 1par pza Indiv.,10.00,7.52,2.48
1.00,,Fijador GEL Barber Style 200g,16.00,13.31,2.69
,22/04/2024,,1206.00,1130.66,75.34
16.00,,Envios De Recargas,16.00,0.16,15.84
1190.00,,ICSI Recargas Xtreme,1190.00,1130.50,59.50
,22/04/2024,,12.00,7.42,4.58
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.42,4.58
,22/04/2024,,7.00,4.94,2.06
1.00,,Bubbaloo Paleta Xtreme Fresa 1Pz,5.00,3.25,1.75
1.00,,Bubbaloo Pik Pop Piña Chamoy 1pz,2.00,1.69,0.31
,22/04/2024,,5.00,3.25,1.75
1.00,,Bubbaloo Paleta Xtreme Fresa 1Pz,5.00,3.25,1.75
,22/04/2024,,250.00,224.78,25.22
1.00,,PEPSI 3LTS PAQ 8PZ,250.00,224.78,25.22
,22/04/2024,,18.00,12.26,5.74
1.00,,Nectar Valle Durazno Cristal 413ml,18.00,12.26,5.74
,22/04/2024,,96.00,80.43,15.57
1.00,,Mediacrema Lala 250g,15.00,13.03,1.97
1.00,,Nutrileche 1pza,20.00,17.26,2.74
0.28,,Queso Fresco,30.00,24.72,5.28
1.00,,Marias Doradas 224g,31.00,25.42,5.58
,22/04/2024,,85.00,72.98,12.02
0.22,,Jamon Rebanado Suly 1kg,15.00,11.96,3.04
1.00,,HUEVO CRIO 1/2 CONO,39.00,36.66,2.34
1.00,,QUESO CASTEL PAQ 10PZA,13.00,9.60,3.40
1.00,,Tortillina Del Hogar 220 g,18.00,14.76,3.24
,22/04/2024,,12.00,7.42,4.58
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.42,4.58
,22/04/2024,,111.00,86.75,24.25
1.00,,Nectar Valle Mango Cristal 413ml,18.00,12.18,5.82
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.55,1.45
1.00,,Doritos Nacho 61gr,17.00,13.69,3.31
1.00,,Sabritas Adobadas 42gm,17.00,13.69,3.31
2.00,,Yoghurt Yoplait Fresa 330g 9112,35.00,29.00,6.00
1.00,,Sponch 120gr,22.00,17.64,4.36
,22/04/2024,,45.00,36.92,8.08
5.00,,Huevo Crio Individual 1pza,15.00,12.20,2.80
0.28,,Queso Fresco,30.00,24.72,5.28
,22/04/2024,,31.00,20.20,10.80
2.00,,Gelatina Lala General 125gr 020556,14.00,7.20,6.80
2.00,,Flan Yoplait 100G 9709,17.00,13.00,4.00
,22/04/2024,,58.00,47.65,10.35
0.19,,Queso Fresco,20.00,16.48,3.52
1.00,,Sidral Munded Jumbo 3 Lts,38.00,31.17,6.83
,22/04/2024,,82.00,74.24,7.76
1.00,,CIGARROS MARLBORO ROJO CORTOS 20PZ,82.00,74.24,7.76
,22/04/2024,,50.00,41.96,8.04
0.16,,Queso De Hebra,20.00,17.24,2.76
0.28,,Queso Fresco,30.00,24.72,5.28
,22/04/2024,,202.00,190.02,11.98
2.00,,Envios De Recargas,2.00,0.02,1.98
200.00,,RECARGAS XTREME (MULTICEL-MINISUPER),200.00,190.00,10.00
,23/04/2024,,39.00,36.66,2.34
1.00,,HUEVO CRIO 1/2 CONO,39.00,36.66,2.34
,23/04/2024,,60.50,50.44,10.06
1.00,,Ace Accion Instantanea 250gr,11.00,9.92,1.08
1.00,,Ace Accion Instantanea 500g,24.50,18.70,5.80
1.00,,Ensueño Max F Primavera Zero Enjuague 850ml,25.00,21.82,3.18
,23/04/2024,,9.00,3.77,5.23
1.00,,Bolsa Basura Grande 1pza,9.00,3.77,5.23
,23/04/2024,,12.00,5.96,6.04
1.00,,Pincel #1,5.00,2.16,2.84
1.00,,Pincel Escolar N°9,7.00,3.80,3.20
,23/04/2024,,29.00,21.05,7.95
1.00,,Marias Gamesa 1pz,16.00,12.00,4.00
1.00,,Marianitas De Coco 185gr,13.00,9.05,3.95
,23/04/2024,,19.00,15.25,3.75
1.00,,Emperador Piruetas 115g 101112,19.00,15.25,3.75
,23/04/2024,,38.00,31.17,6.83
1.00,,Fanta Jumbo Fresa 3lts,38.00,31.17,6.83
,23/04/2024,,18.00,1.14,16.86
6.00,,IMPRESION BLANCO Y NEGRO,18.00,1.14,16.86
,23/04/2024,,135.00,107.43,27.57
2.00,,Pan bimbo Blanco Grande 640g,96.00,78.02,17.98
2.00,,QUESO CASTEL PAQ 10PZA,26.00,19.20,6.80
1.00,,Servilleta Tender 125hjs,13.00,10.21,2.79
,23/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,23/04/2024,,3.00,1.20,1.80
3.00,,Vaso Individual del #8 1pza,3.00,1.20,1.80
,23/04/2024,,23.00,14.60,8.40
2.00,,Hielo Individual,10.00,5.00,5.00
1.00,,QUESO CASTEL PAQ 10PZA,13.00,9.60,3.40
,23/04/2024,,35.00,25.36,9.64
1.00,,Leche Nito Bebida Chocolate 236G,13.00,10.66,2.34
1.00,,Yomi Lala Fresa 190ml,11.00,6.50,4.50
1.00,,Concha vainilla 1pz 60g,11.00,8.20,2.80
,23/04/2024,,48.00,33.49,14.51
1.00,,Magnus Sobre Omnilife 20g,17.00,11.53,5.47
1.00,,Power Mora 1 Lt,31.00,21.96,9.04
,23/04/2024,,16.20,12.60,3.60
1.00,,MACARENA 108 GR,16.20,12.60,3.60
,23/04/2024,,82.00,70.12,11.88
1.00,,Mediacrema Lala 250g,15.00,13.03,1.97
1.00,,Queso Crema La Escondida 250g,17.00,14.00,3.00
0.40,,Queso De Hebra,50.00,43.09,6.91
,23/04/2024,,197.00,187.06,9.94
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,187.06,9.94
,23/04/2024,,35.00,29.25,5.75
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
,23/04/2024,,36.00,23.91,12.09
1.00,,Activia Ciruela Pasa 250g,17.00,11.13,5.87
1.00,,Fem Omnilife 1sobre,19.00,12.78,6.22
,23/04/2024,,13.00,9.84,3.16
1.00,,Bran Frut De Piña Bimbo 58g,13.00,9.84,3.16
,23/04/2024,,39.00,36.66,2.34
1.00,,HUEVO CRIO 1/2 CONO,39.00,36.66,2.34
,23/04/2024,,211.00,156.04,54.96
1.00,,Jamon Rebanado Suly 1kg,67.00,55.00,12.00
1.00,,SALCHIJOCHO CON PAVO ANY PAQ3KG,144.00,101.04,42.96
,23/04/2024,,19.00,15.20,3.80
1.00,,Coca Cola 600ml,19.00,15.20,3.80
,23/04/2024,,33.00,25.77,7.23
1.00,,Fanta Fresa 600ml,18.00,13.57,4.43
5.00,,Huevo Crio Individual 1pza,15.00,12.20,2.80
,23/04/2024,,9.00,7.32,1.68
3.00,,Huevo Crio Individual 1pza,9.00,7.32,1.68
,23/04/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,23/04/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,23/04/2024,,82.00,69.07,12.93
1.00,,Queso Crema La Escondida 250g,17.00,14.00,3.00
0.32,,Queso De Hebra,40.00,34.47,5.53
0.23,,Queso Fresco,25.00,20.60,4.40
,23/04/2024,,6.00,0.00,6.00
1.00,,Caja Vacia De Huevo,6.00,0.00,6.00
,23/04/2024,,42.00,35.62,6.38
2.00,,Arroz 1kg,42.00,35.62,6.38
,23/04/2024,,35.00,27.24,7.76
1.00,,Agua Ciel 1.5 Lts 4721,16.00,12.04,3.96
1.00,,Coca Cola 600ml,19.00,15.20,3.80
,23/04/2024,,190.00,162.73,27.27
1.00,,Jamon Rebanado Suly 1kg,67.00,55.00,12.00
1.00,,Queso De Hebra,123.00,107.73,15.27
,23/04/2024,,16.00,12.04,3.96
1.00,,Agua Ciel 1.5 Lts 4721,16.00,12.04,3.96
,23/04/2024,,202.00,187.06,14.94
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,187.06,9.94
,23/04/2024,,37.00,28.10,8.90
1.00,,Pepsi Jumbo 3Lt,37.00,28.10,8.90
,23/04/2024,,25.00,18.98,6.02
1.00,,Roles Glaseados 3pzas 205g,25.00,18.98,6.02
,23/04/2024,,123.00,107.73,15.27
1.00,,Queso De Hebra,123.00,107.73,15.27
,23/04/2024,,44.00,14.27,29.73
1.00,,Chivacola Botella Omnilife 600ml,18.00,11.51,6.49
4.00,,IMPRESION A COLORES,16.00,0.76,15.24
,23/04/2024,,41.00,32.42,8.58
1.00,,Coca Cola 600ml,19.00,15.20,3.80
1.00,,Pinguinos triple chocolate,22.00,17.22,4.78
,23/04/2024,,24.00,17.56,6.44
1.00,,Pepsi 1.5Lt,24.00,17.56,6.44
,23/04/2024,,46.00,39.98,6.02
1.00,,Patrona 1 Litro,46.00,39.98,6.02
,23/04/2024,,39.00,36.66,2.34
1.00,,HUEVO CRIO 1/2 CONO,39.00,36.66,2.34
,23/04/2024,,27.00,14.78,12.22
1.00,,Cascaron 1/4,15.00,8.98,6.02
2.00,,Cartulina Azul,12.00,5.80,6.20
,23/04/2024,,15.00,11.96,3.04
0.22,,Jamon Rebanado Suly 1kg,15.00,11.96,3.04
,23/04/2024,,37.00,30.05,6.95
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
2.00,,Vaso Individual del #8 1pza,2.00,0.80,1.20
,23/04/2024,,30.00,19.63,10.37
1.00,,Chicharos Clemente Jacques 220gr,11.00,8.14,2.86
1.00,,Jamaica bolsa 100gr,19.00,11.49,7.51
,23/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,23/04/2024,,7.00,5.45,1.55
1.00,,Cerillo Flama Grande,7.00,5.45,1.55
,23/04/2024,,5.00,2.30,2.70
1.00,,Bolsa Basura Mediana 1pza,5.00,2.30,2.70
,23/04/2024,,25.00,9.70,15.30
1.00,,Teatino Maracuya Sobre,25.00,9.70,15.30
,23/04/2024,,24.00,17.56,6.44
1.00,,Pepsi 1.5Lt,24.00,17.56,6.44
,23/04/2024,,25.00,21.20,3.80
0.50,,Pedigree Adulto 1kg,25.00,21.20,3.80
,23/04/2024,,38.00,31.17,6.83
1.00,,Sprite 3lts,38.00,31.17,6.83
,23/04/2024,,3.00,1.80,1.20
1.00,,Trident Menta 4 past 5.2gr,3.00,1.80,1.20
,23/04/2024,,14.00,10.08,3.92
1.00,,Golden Nuts Salados 65g,14.00,10.08,3.92
,23/04/2024,,51.00,39.28,11.72
1.00,,Cartulina Azul,6.00,2.90,3.10
1.00,,Toallitas suavelastic 100pz,45.00,36.38,8.62
,23/04/2024,,553.00,540.53,12.47
538.00,,PAGO SERVICIOS XTREME MULTIPAGOS,538.00,532.62,5.38
1.00,,COMISION SERVICIOS 501-750( MULTI-SUSI ),15.00,7.91,7.09
,23/04/2024,,27.00,18.49,8.51
1.00,,Agua Ciel Mineralizada 2 Lts 305742,27.00,18.49,8.51
,23/04/2024,,14.00,10.63,3.37
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.55,1.45
1.00,,Clarasol 1 Litro,12.00,10.08,1.92
,23/04/2024,,104.00,79.14,24.86
2.00,,Doritos Nacho 61gr,34.00,27.38,6.62
2.00,,Takis Fuego Mas Picante 65g,34.00,26.88,7.12
2.00,,takis heat 70g,36.00,24.88,11.12
,23/04/2024,,2.00,0.55,1.45
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.55,1.45
,23/04/2024,,18.00,14.64,3.36
6.00,,Huevo Crio Individual 1pza,18.00,14.64,3.36
,23/04/2024,,15.00,12.34,2.66
1.00,,Leche Nito Bebida Chocolate 236G,13.00,10.66,2.34
2.00,,Bombon Individual,2.00,1.68,0.32
,23/04/2024,,19.00,15.20,3.80
1.00,,Coca Cola 600ml,19.00,15.20,3.80
,23/04/2024,,65.00,51.97,13.03
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
1.00,,Pancrema 151g,13.00,9.60,3.40
1.00,,Suavicrema De Chocolate 100g,17.00,13.12,3.88
,23/04/2024,,17.00,14.00,3.00
1.00,,Queso Crema La Escondida 250g,17.00,14.00,3.00
,23/04/2024,,18.00,11.13,6.87
3.00,,Cigarro Marlboro Individual 1Pza,18.00,11.13,6.87
,23/04/2024,,76.00,47.50,28.50
1.00,,Bolsa Natural 20x30 Para Kg,76.00,47.50,28.50
,23/04/2024,,13.00,9.21,3.79
1.00,,Agua Ciel 1lt 310883,13.00,9.21,3.79
,23/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,23/04/2024,,24.00,17.56,6.44
1.00,,Pepsi 1.5Lt,24.00,17.56,6.44
,23/04/2024,,25.00,16.50,8.50
1.00,,Electrolit Fresa 625 Ml,25.00,16.50,8.50
,23/04/2024,,18.00,11.69,6.31
1.00,,Epura 1.5 lt,18.00,11.69,6.31
,23/04/2024,,50.00,41.21,8.79
0.46,,Queso Fresco,50.00,41.21,8.79
,23/04/2024,,188.00,128.45,59.55
2.00,,Egoplant  Sabor Herbal 200ml Omnilife,90.00,57.56,32.44
1.00,,Chivacola Botella Omnilife 600ml,18.00,11.51,6.49
1.00,,Fritos Sal Y Limon 60g,15.00,11.99,3.01
1.00,,Ego Frutas omnilife lata 355ml,45.00,31.83,13.17
1.00,,chip sal 62g,20.00,15.56,4.44
,23/04/2024,,34.50,27.94,6.56
1.00,,Yoghurt Yoplait Durazno 330gr 9261,17.50,14.50,3.00
1.00,,Takis original mas 70 gr,17.00,13.44,3.56
,23/04/2024,,22.00,18.04,3.96
1.00,,Donas 6p Bimbo 158g,22.00,18.04,3.96
,23/04/2024,,39.00,36.66,2.34
1.00,,HUEVO CRIO 1/2 CONO,39.00,36.66,2.34
,23/04/2024,,45.00,40.00,5.00
1.00,,Epura Garrafon 20 Lts,45.00,40.00,5.00
,23/04/2024,,6.48,4.92,1.56
1.00,,Crossantines 32g,6.48,4.92,1.56
,23/04/2024,,57.00,44.55,12.45
1.00,,Carlos V 18g,10.00,6.30,3.70
1.00,,coca cola 1.350 ml,28.00,23.00,5.00
1.00,,Ricanelas 97g,19.00,15.25,3.75
,23/04/2024,,17.00,11.13,5.87
1.00,,Activia Ciruela Pasa 250g,17.00,11.13,5.87
,23/04/2024,,29.00,20.90,8.10
1.00,,Libreta Scribe Cuadro Chico 100hjs,29.00,20.90,8.10
,23/04/2024,,233.00,218.53,14.47
3.00,,Envios De Recargas,3.00,0.03,2.97
230.00,,RECARGAS XTREME (MULTICEL-MINISUPER),230.00,218.50,11.50
,23/04/2024,,404.00,374.12,29.88
2.00,,Servicio Domicilio,10.00,0.00,10.00
2.00,,COCA RETORNABLE 3LTS PAQ 6PZA,394.00,374.12,19.88
,23/04/2024,,35.00,28.24,6.76
1.00,,Paketaxo Botanero 70g,18.00,14.55,3.45
1.00,,Sabritas Flamin Hot 45gm,17.00,13.69,3.31
,23/04/2024,,18.00,14.38,3.62
1.00,,Vitaloe Mega 500ml,18.00,14.38,3.62
,23/04/2024,,36.00,29.20,6.80
1.00,,Coca Cola Vidrio 1 1/4,24.00,19.87,4.13
1.00,,Chicharron De Cerdo 30g,12.00,9.33,2.67
,23/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,23/04/2024,,31.00,23.21,7.79
1.00,,Senzao Guarana 2lts,31.00,23.21,7.79
,23/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,23/04/2024,,30.00,23.21,6.79
1.00,,Sidral Mundet Pera 2L,30.00,23.21,6.79
,23/04/2024,,30.00,20.51,9.49
1.00,,Valle Frut Citrus 2 Litros 330461,30.00,20.51,9.49
,23/04/2024,,202.00,186.23,15.77
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
,23/04/2024,,7.00,3.64,3.36
1.00,,Lapicero AZOR Negro Fino Pin Point,7.00,3.64,3.36
,23/04/2024,,65.00,50.10,14.90
1.00,,Nectar Valle Durazno Cristal 413ml,18.00,12.26,5.74
10.00,,Huevo Crio Individual 1pza,30.00,24.40,5.60
1.00,,Barritas Fresa Mas Galleta 75g,17.00,13.44,3.56
,23/04/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,23/04/2024,,24.00,19.87,4.13
1.00,,Coca Cola Vidrio 1 1/4,24.00,19.87,4.13
,23/04/2024,,24.00,19.08,4.92
6.00,,Huevo Crio Individual 1pza,18.00,14.64,3.36
1.00,,Tang De Fresa 25g,6.00,4.44,1.56
,23/04/2024,,8.00,5.58,2.42
1.00,,Vogue Higienico De Rollo Ind,8.00,5.58,2.42
,23/04/2024,,4.00,3.36,0.64
4.00,,Bombon Individual,4.00,3.36,0.64
,23/04/2024,,26.00,21.73,4.27
1.00,,Axion 500 gr,26.00,21.73,4.27
,23/04/2024,,23.00,18.12,4.88
1.00,,Kotex Unica Nocturna 10pz,23.00,18.12,4.88
,23/04/2024,,24.00,22.36,1.64
1.00,,Azucar 1 Kg,24.00,22.36,1.64
,23/04/2024,,16.00,12.44,3.56
1.00,,Axion 250 gr,13.00,10.96,2.04
2.00,,Clorets Menta 2.8gr 2Pastillas,3.00,1.48,1.52
,23/04/2024,,24.00,17.32,6.68
1.00,,Foca 500gr,24.00,17.32,6.68
,23/04/2024,,24.00,22.36,1.64
1.00,,Azucar 1 Kg,24.00,22.36,1.64
,23/04/2024,,156.00,146.64,9.36
2.00,,HUEVO CRIO CONO 30PZ,156.00,146.64,9.36
,23/04/2024,,240.00,208.92,31.08
1.00,,PEPSI 1.5 LTS PAQ 12PZ,240.00,208.92,31.08
,23/04/2024,,53.00,40.98,12.02
1.00,,Placer Coco Yoplait 145g 9256,14.00,11.50,2.50
1.00,,Placer Fresa Yoplait 145g 9258,14.50,9.98,4.52
1.00,,Yogurth Yoplait Fresa 470gr 9757,24.50,19.50,5.00
,23/04/2024,,11.00,7.17,3.83
1.00,,Epura 600 ml,11.00,7.17,3.83
,23/04/2024,,43.00,23.71,19.29
1.00,,Agua Ciel 1lt 310883,13.00,9.21,3.79
2.00,,XL-3 VR par,30.00,14.50,15.50
,23/04/2024,,4.00,3.36,0.64
4.00,,Bombon Individual,4.00,3.36,0.64
,23/04/2024,,3.00,2.52,0.48
3.00,,Bombon Individual,3.00,2.52,0.48
,23/04/2024,,76.00,63.87,12.13
1.00,,Suavitel Cuidado Superior F.Prim 450ml,18.00,15.87,2.13
1.00,,Pantene Fuerza Rec Shampoo 300ml,58.00,48.00,10.00
,23/04/2024,,37.00,27.50,9.50
1.00,,Jumex Fresh 3lt,37.00,27.50,9.50
,23/04/2024,,30.00,25.86,4.14
0.24,,Queso De Hebra,30.00,25.86,4.14
,23/04/2024,,36.50,30.09,6.41
1.00,,Pinol Aromas Floral 828ml,24.00,22.09,1.91
1.00,,Zote Rosa 200g,12.50,8.00,4.50
,23/04/2024,,13.00,9.21,3.79
1.00,,Agua Ciel 1lt 310883,13.00,9.21,3.79
,23/04/2024,,22.00,15.58,6.42
1.00,,Power Mora 500ml,22.00,15.58,6.42
,23/04/2024,,22.00,17.22,4.78
1.00,,Pinguino Marinela 80g,22.00,17.22,4.78
,23/04/2024,,41.00,34.02,6.98
1.00,,Chocoroles Piña  2p 80G,21.00,17.22,3.78
1.00,,RUNNERS WATZ 80g,20.00,16.80,3.20
,23/04/2024,,52.00,42.17,9.83
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
1.00,,Cheetos Poff Azules 41gr,14.00,11.13,2.87
,23/04/2024,,16.00,12.04,3.96
1.00,,Agua Ciel 1.5 Lts 4721,16.00,12.04,3.96
,23/04/2024,,43.50,38.25,5.25
1.00,,Foca Kilo,43.50,38.25,5.25
,23/04/2024,,78.00,73.32,4.68
1.00,,HUEVO CRIO CONO 30PZ,78.00,73.32,4.68
,23/04/2024,,21.00,17.22,3.78
1.00,,Bimbuñuelos C/6pzas 99gr,21.00,17.22,3.78
,23/04/2024,,54.00,0.00,54.00
9.00,,Caja Vacia De Huevo,54.00,0.00,54.00
,23/04/2024,,30.00,23.91,6.09
0.43,,Jamon Rebanado Suly 1kg,30.00,23.91,6.09
,23/04/2024,,79.00,62.99,16.01
2.00,,Leche Nito Bebida Chocolate 236G,26.00,21.32,4.68
1.00,,Sabritas Sal Original 45g,17.00,13.69,3.31
1.00,,Chipotles Barcel MasProducto 65gr,16.00,12.42,3.58
1.00,,Wapas Queso 75g,20.00,15.56,4.44
,23/04/2024,,25.00,20.60,4.40
0.23,,Queso Fresco,25.00,20.60,4.40
,23/04/2024,,29.00,22.84,6.16
1.00,,Halls De Menta,9.00,6.04,2.96
1.00,,chips fuego 62g,20.00,16.80,3.20
,23/04/2024,,38.00,31.17,6.83
1.00,,Fresca Jumbo 3lts,38.00,31.17,6.83
,23/04/2024,,68.00,55.06,12.94
1.00,,Cheetos Flamin Hot 52gr,14.00,11.13,2.87
1.00,,Doritos Flamin Hot 62gm,17.00,13.69,3.31
1.00,,Takis Fuego Mas Picante 65g,17.00,13.44,3.56
1.00,,chips fuego 62g,20.00,16.80,3.20
,23/04/2024,,17.00,13.33,3.67
1.00,,Sopa Maruchan Camaron Habanero,17.00,13.33,3.67
,23/04/2024,,3.00,1.70,1.30
2.00,,Bubbaloo Fresa 5.1gr,3.00,1.70,1.30
,23/04/2024,,6.00,4.44,1.56
1.00,,Tang De Fresa 25g,6.00,4.44,1.56
,23/04/2024,,36.00,29.24,6.76
0.16,,Queso De Hebra,20.00,17.24,2.76
1.00,,Marias Gamesa 1pz,16.00,12.00,4.00
,23/04/2024,,36.48,30.78,5.70
0.24,,Queso De Hebra,30.00,25.86,4.14
1.00,,Crossantines 32g,6.48,4.92,1.56
,23/04/2024,,621.00,579.61,41.39
11.00,,Envios De Recargas,11.00,0.11,10.89
610.00,,ICSI Recargas Xtreme,610.00,579.50,30.50
,23/04/2024,,29.00,21.55,7.45
1.00,,Nectar Valle Durazno Minibrick 250ml,12.00,7.86,4.14
1.00,,Doritos 3D Nacho 50gr,17.00,13.69,3.31
,23/04/2024,,2.00,0.55,1.45
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.55,1.45
,23/04/2024,,14.00,11.13,2.87
1.00,,Cheetos Torcido Naranja 52g,14.00,11.13,2.87
,23/04/2024,,15.00,8.00,7.00
1.00,,Prestobarba Guillette Ultragrip 2Hj,15.00,8.00,7.00
,23/04/2024,,3.00,1.80,1.20
1.00,,Trident Menta 4 past 5.2gr,3.00,1.80,1.20
,23/04/2024,,20.00,17.26,2.74
1.00,,Nutrileche 1pza,20.00,17.26,2.74
,23/04/2024,,149.50,113.58,35.92
1.00,,Azucar 1 Kg,24.00,22.36,1.64
1.00,,Cafe Unico Sobre 14g,7.00,4.91,2.09
1.00,,Cerillo Clasico Individual,3.50,1.93,1.57
1.00,,Fideo #1,9.00,6.45,2.55
1.00,,Foca 250  gr,11.50,9.23,2.27
1.00,,Sabritas Sal Original 45g,17.00,13.69,3.31
0.39,,Chuleta Aumada Salmi,65.50,47.15,18.35
1.00,,Nectar Valle Mango Minibrick 250ml,12.00,7.86,4.14
,23/04/2024,,203.00,190.03,12.97
3.00,,Envios De Recargas,3.00,0.03,2.97
200.00,,RECARGAS XTREME (MULTICEL-MINISUPER),200.00,190.00,10.00
,23/04/2024,,11.00,8.91,2.09
0.50,,Arroz 1kg,11.00,8.91,2.09
